,Chromosome,Start,Stop,Strand,Gene Symbol,gene_biotype,gene_name,gene_source,tag,transcript_biotype,transcript_source,GC-JN-9178-12-IC_S13,GC-JN-9178-9-OC_S10,GC-JN-9178-9-R_S6,GC-JN-9178-Ctrl-IC_S8,GC-JN-9178-12-R_S5,GC-JN-9178-13-R_S11,GC-JN-9178-13-OC_S3,GC-JN-9178-Ctrl-OC_S9,GC-JN-9178-13-IC_S7,GC-JN-9178-11-R_S4,GC-JN-9178-10-R_S15,GC-JN-9178-11-OC_S17,GC-JN-9178-10-OC_S2,GC-JN-9178-9-IC_S12,GC-JN-9178-11-IC_S16,GC-JN-9178-12-OC_S14,GC-JN-9178-10-IC_S1,BLGCSEQ0192-RNAControl1_S18,BLGCSEQ0192-RNAControl3_S20,BLGCSEQ0192-RNAControl2_S19
4199,M,12865,12935,+,ENSSSCG00000018090,Mt_tRNA,---,RefSeq,---,Mt_tRNA,RefSeq,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4200,M,15267,15336,-,ENSSSCG00000018093,Mt_tRNA,---,RefSeq,---,Mt_tRNA,RefSeq,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
4387,6,97200922,97235367,+,ENSSSCG00000022947,pseudogene,---,ensembl,---,pseudogene,ensembl,82.0,17.0,98.0,295.0,116.0,37.0,127.0,161.0,88.0,114.0,74.0,51.0,154.0,123.0,94.0,149.0,351.0,8.0,9.0,4.0
4415,16,52264386,52265158,+,ENSSSCG00000023757,protein_coding,---,ensembl,---,protein_coding,ensembl,2.04286,1.0,3.05192,2.0,5.0,0.0,2.0,0.0,6.0,3.0,8.0,3.0,2.0,3.0,5.0,5.0,18.1402,0.0,0.0,0.0
4428,17,50959149,50959240,+,ENSSSCG00000024084,snoRNA,---,ensembl,---,snoRNA,ensembl,5.0,4.0,11.0,4.0,26.0,15.0,41.0,3.0,12.0,86.0,34.0,13.0,26.0,24.0,14.0,10.0,33.0,0.0,0.0,0.0
4453,6,410309,413337,-,ENSSSCG00000024974,protein_coding,---,ensembl,---,protein_coding,ensembl,671.0,213.0,1023.0,774.0,1602.0,809.997,783.0,754.0,892.0,1201.0,749.0,456.0,819.0,970.0,606.0,1059.0,798.0,63.0,60.0,59.0
4471,13,207042942,207056772,+,ENSSSCG00000025525,protein_coding,---,ensembl,---,protein_coding,ensembl,90.0,26.0,72.0,504.0,134.0,78.0,158.0,197.0,114.0,104.0,210.0,57.0,145.0,131.0,83.0,120.0,870.0,0.0,0.0,0.0
4515,6,53729044,53753483,-,ENSSSCG00000026689,protein_coding,---,ensembl,---,protein_coding,ensembl,4.0,0.0,0.0,3.0,0.0,0.0,4.0,14.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4548,2,9757033,9760896,+,ENSSSCG00000027538,protein_coding,---,ensembl,---,protein_coding,ensembl,16.0,4.0,18.0,23.0,41.0,9.0,16.0,6.0,18.0,13.0,31.0,17.0,11.0,19.0,16.0,46.0,21.0,0.0,0.0,0.0
4641,7,78563369,78563518,+,ENSSSCG00000029550,snoRNA,---,ensembl,---,snoRNA,ensembl,10.0,2.0,9.0,16.0,42.0,30.0,51.0,8.0,33.0,58.0,20.0,7.0,17.0,12.0,4.0,10.0,46.0,0.0,1.0,0.0
4645,13,207015133,207033143,+,ENSSSCG00000029627,protein_coding,---,ensembl,---,protein_coding,ensembl,38.0,14.0,31.0,56.0,45.0,35.0,92.0001,86.0,67.0,63.0,76.0,13.0,27.0,45.0,47.0,50.0,57.0,0.0,1.0,0.0
4721,12,3795888,3823268,-,ENSSSCG00000031600,protein_coding,---,ensembl,---,protein_coding,ensembl,58.9058,21.9857,77.9235,131.005,198.207,119.508,140.145,70.743,109.231,171.511,61.1377,43.0,97.0,70.9396,75.0,68.9719,193.364,2.0,1.0,5.0
4759,6,58053985,58060385,+,ENSSSCG00000031883,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
4775,9,66696616,66722546,+,ENSSSCG00000032017,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4784,6,95322453,95366674,+,ENSSSCG00000032082,protein_coding,---,ensembl,---,protein_coding,ensembl,5.0,2.0,7.0,0.0,6.0,14.0,7.0,10.0,4.0,3.0,0.0,0.0,7.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
4816,2,127137,135913,-,ENSSSCG00000032436,protein_coding,---,ensembl,---,protein_coding,ensembl,28.4235,3.34632,16.2232,68.3441,114.956,31.1006,6.10874,46.7151,12.0996,10.9936,67.2881,8.87506,44.5606,19.5232,26.1737,65.306,46.2238,0.0,0.0,0.0
4841,3,4825986,4850935,+,ENSSSCG00000032626,protein_coding,---,ensembl,---,protein_coding,ensembl,37.0,17.0085,53.9191,65.8981,93.813,39.0,45.0,46.9553,53.0,50.697,23.0,34.0,32.0,46.9553,7.0,35.0,72.0,0.0,0.0,0.0
4980,6,55273672,55280876,+,ENSSSCG00000034211,protein_coding,---,ensembl,---,protein_coding,ensembl,5.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5010,AEMK02000635.1,13847,14309,+,ENSSSCG00000034642,protein_coding,---,ensembl,---,protein_coding,ensembl,1.84e-07,0.0517155,0.0100805,3.72e-05,8.78e-06,3.69e-09,0.000571378,6.85e-07,9.77e-12,12.5022,4.75e-08,4.58e-06,9.31e-06,1.2e-06,0.243039,3.14132,0.00240981,0.0,0.0,0.0
5062,6,87565016,87565101,-,ENSSSCG00000035201,snoRNA,---,ensembl,---,snoRNA,ensembl,0.0,0.0,0.5,0.0,0.5,0.5,4.5,3.0,2.0,3.0,5.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
5106,15,83354789,83356784,-,ENSSSCG00000035603,pseudogene,---,ensembl,---,pseudogene,ensembl,1.51e-05,3.01208,14.0379,23.3091,0.176433,2.85e-12,4.52372,9.62432,4.29464,7.66229,1.28e-17,2.06e-09,0.00996357,4.12e-09,0.583962,1.1e-19,4.33885,2.72e-09,2.4199999999999998e-24,0.0
5108,14,102817588,102818645,-,ENSSSCG00000035635,pseudogene,---,ensembl,---,pseudogene,ensembl,2.0,0.0,0.0,2.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5169,14,50840293,50935592,-,ENSSSCG00000036280,protein_coding,---,ensembl,---,protein_coding,ensembl,263.0,74.0,305.0,436.0,458.0,281.0,387.0,366.0,312.001,380.0,174.0,173.0,385.0,350.0,224.0,330.0,433.0,1.0,0.0,1.0
5202,6,62570105,62586671,+,ENSSSCG00000036554,protein_coding,---,ensembl,---,protein_coding,ensembl,45.0,10.0,27.0,39.0,37.0,40.0,40.0,67.0,35.0,42.0,21.0,36.0,33.0,42.0,15.0,25.0,21.1671,0.0,0.0,0.0
5226,9,37613308,37620663,+,ENSSSCG00000036943,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0,5.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0
5294,1,92423745,92424728,-,ENSSSCG00000037674,protein_coding,---,ensembl,---,protein_coding,ensembl,10.0,1.0,6.0,9.0,7.0,9.0,2.0,8.0,5.0,10.0,0.0,5.0,7.0,9.0,0.0,11.0,8.0,0.0,0.0,0.0
5310,2,50419625,50420529,+,ENSSSCG00000037859,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5322,Y,3315079,3368872,-,ENSSSCG00000038027,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,1.1000000000000001e-29,6.71e-13,0.0,0.0,0.0,1.99758,0.998791,2.99637,1.99992,0.0,0.998791,1.78e-06,0.998791,1.0,0.0,0.0,0.0,0.0
5419,X,47762049,47772017,+,ENSSSCG00000039027,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0
5429,Y,5238412,5375107,-,ENSSSCG00000039144,protein_coding,---,ensembl,---,protein_coding,ensembl,25.7817,2.0,12.7482,19.853,15.0409,36.3274,18.0826,28.1889,8.13745,21.6854,5.0,10.0,6.53907,17.5302,5.0,13.9831,20.5994,0.0,0.0,0.0
5437,15,28834319,28837217,-,ENSSSCG00000039209,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,1.0,1.60643,1.0,3.0,0.0,2.0,3.0,0.0,1.0,4.99871,0.0,3.0,0.0,0.0,0.0,0.0
5471,4,99188855,99189248,-,ENSSSCG00000039615,protein_coding,---,ensembl,---,protein_coding,ensembl,27.1391,6.5,82.6491,15.2664,97.4908,61.2556,59.49,20.2229,58.3352,144.135,31.4649,17.5,52.393,29.8489,15.1434,54.0145,23.2063,87.3361,135.537,83.1276
5485,2,7059462,7072810,+,ENSSSCG00000039740,protein_coding,---,ensembl,---,protein_coding,ensembl,129.498,38.767,107.214,111.407,170.267,132.35,171.636,180.05,129.316,118.545,70.1977,65.1604,126.451,134.745,59.2093,107.99,97.6828,1.21919,0.752258,0.0860777
5490,9,3214170,3222813,-,ENSSSCG00000039799,protein_coding,---,ensembl,---,protein_coding,ensembl,2.0,1.0,0.0,4.0,0.0,0.0,4.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5517,X,15607894,15609426,+,ENSSSCG00000040104,protein_coding,---,ensembl,---,protein_coding,ensembl,6.0,2.0,3.0,2.0,1.0,15.0,3.0,10.0,1.0,2.0,1.0,0.0,5.0,6.0,0.0,4.0,2.0,2.0,2.0,4.0
5615,13,62154407,62160024,+,ENSSSCG00000041046,protein_coding,---,ensembl,---,protein_coding,ensembl,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
5626,13,202541817,202557632,+,ENSSSCG00000041073,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
5642,16,46660249,46680544,+,ENSSSCG00000041125,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
5673,2,97545894,97550995,-,ENSSSCG00000041183,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
5681,17,55752647,55758199,-,ENSSSCG00000041198,protein_coding,---,ensembl,---,protein_coding,ensembl,1.09e-08,0.0,0.0,1.0,3.0,4.0,1.0,4.45352,1.0,1.0,6.46147,0.0,0.0,3.0,0.0,2.0,12.0,0.0,0.0,0.0
5694,6,62647023,62667602,-,ENSSSCG00000041238,lncRNA,---,ensembl,---,lncRNA,ensembl,66.0,16.0,48.0,67.0,22.0,91.9999,71.0,165.0,47.0,51.0,69.0,40.0,63.0,61.0,20.0,82.0,48.0,0.0,0.0,0.0
5756,13,115416131,115424065,-,ENSSSCG00000041368,pseudogene,---,ensembl,---,pseudogene,ensembl,51.0,7.0,5.0,109.0,15.0,45.0,92.0,256.0,54.0,64.0,53.0,36.0,31.0,45.0,41.0,61.0,34.0,0.0,0.0,0.0
5766,3,115403922,115408899,+,ENSSSCG00000041403,lncRNA,---,ensembl,---,lncRNA,ensembl,9.0,4.0,1.0,4.0,1.0,11.0,7.0,7.0,5.0,2.0,8.0,9.0,0.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0
5776,13,119938804,119943864,+,ENSSSCG00000041424,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
5811,1,190892386,190893238,+,ENSSSCG00000041512,protein_coding,---,ensembl,---,protein_coding,ensembl,31.1782,19.303,69.3157,56.1878,76.9062,42.719,88.3367,63.7835,73.6258,53.025,79.9282,33.7901,79.3542,73.2879,56.0,46.0099,58.7975,7.83895,12.0625,7.46309
5827,14,124818264,124821000,-,ENSSSCG00000041550,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,2.0,1.0,17.0,1.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0
5860,1,18640927,18644921,+,ENSSSCG00000041638,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5863,2,57616061,57617006,+,ENSSSCG00000041642,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5881,2,142495930,142498371,+,ENSSSCG00000041688,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,1.0,0.0,4.0,0.0,1.0,1.0,25.5641,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
5925,1,186080645,186082750,+,ENSSSCG00000041815,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6012,8,137033010,137036672,-,ENSSSCG00000042030,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6061,8,42471334,42476798,-,ENSSSCG00000042145,protein_coding,---,ensembl,---,protein_coding,ensembl,10.739,0.0,0.0,3.69605,1.0,2.0,3.69605,8.0,6.16009,4.0,2.98086,0.0,1.0,1.19846,0.0,3.0,3.31782,0.0,0.0,0.0
6098,1,235296376,235300521,+,ENSSSCG00000042235,lncRNA,---,ensembl,---,lncRNA,ensembl,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6113,3,56221108,56222185,+,ENSSSCG00000042279,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
6114,13,25407011,25409153,+,ENSSSCG00000042280,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.52294,0.0,0.0,10.3472,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6193,16,51431909,51457662,-,ENSSSCG00000042480,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0
6224,8,134833125,134911392,-,ENSSSCG00000042575,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
6229,15,139942377,139952915,+,ENSSSCG00000042585,lncRNA,---,ensembl,---,lncRNA,ensembl,4.0,0.0,0.0,6.0,0.0,0.0,8.0,8.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6244,1,186362433,186369263,-,ENSSSCG00000042609,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,4.0,5.0,2.0,0.0,2.0,10.0,0.0,4.0,13.0,5.0,2.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0
6334,3,481239,483607,-,ENSSSCG00000042876,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
6349,2,117056769,117091632,+,ENSSSCG00000042913,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,2.0,4.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6377,6,47420686,47432280,+,ENSSSCG00000042985,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
6410,8,98111167,98116660,-,ENSSSCG00000043075,protein_coding,---,ensembl,---,protein_coding,ensembl,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6435,14,121159841,121163664,-,ENSSSCG00000043138,lncRNA,---,ensembl,---,lncRNA,ensembl,6.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6441,15,132626262,132630363,-,ENSSSCG00000043146,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6465,8,4723536,4726715,-,ENSSSCG00000043216,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6469,8,104156174,104161776,-,ENSSSCG00000043231,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6481,10,13991346,13993461,-,ENSSSCG00000043267,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,1.0,1.0,0.0,1.0,8.38e-08,1.0,0.0,1.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6504,7,96278313,96282184,+,ENSSSCG00000043323,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6532,13,123556681,123564680,-,ENSSSCG00000043414,pseudogene,---,ensembl,---,pseudogene,ensembl,7.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,6.0,3.0,5.0,2.0,1.0,0.0,0.0
6540,4,17687646,17696987,+,ENSSSCG00000043433,lncRNA,---,ensembl,---,lncRNA,ensembl,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6541,10,819082,829609,+,ENSSSCG00000043434,lncRNA,---,ensembl,---,lncRNA,ensembl,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0
6604,6,153287765,153294258,+,ENSSSCG00000043611,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6621,X,28719708,28723135,-,ENSSSCG00000043660,pseudogene,---,ensembl,---,pseudogene,ensembl,7.69136,1.0,0.0,9.0,1.0,14.0,6.0,14.0,4.0,2.0,1.0,8.0,2.0,3.0,2.0,17.0,2.0,0.0,0.0,0.0
6631,9,14646591,14654242,+,ENSSSCG00000043680,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
6638,6,76644833,76646058,+,ENSSSCG00000043698,protein_coding,---,ensembl,---,protein_coding,ensembl,9.0,0.0,0.0,4.0,0.0,0.0,3.75059,3.81934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6645,17,12166436,12175957,+,ENSSSCG00000043723,lncRNA,---,ensembl,---,lncRNA,ensembl,14.0,4.0,3.0,2.0,9.0,8.0,25.0,24.0,14.0,9.0,17.0,11.0,1.0,19.0,16.0,12.0,3.0,0.0,0.0,0.0
6655,11,15137471,15143226,-,ENSSSCG00000043742,pseudogene,---,ensembl,---,pseudogene,ensembl,21.0,1.0,3.0,10.0,0.0,8.0,13.0,43.0,14.0,12.0,1.0,6.0,4.0,6.0,4.0,18.0,12.0,0.0,0.0,0.0
6661,4,112678711,112679763,-,ENSSSCG00000043757,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.00946,1.0,0.0,7.48e-38,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6670,13,87818377,87820348,-,ENSSSCG00000043777,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.6e-28,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6672,2,76017466,76024748,-,ENSSSCG00000043780,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6687,13,126636202,126638045,+,ENSSSCG00000043849,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6733,4,43080169,43087125,+,ENSSSCG00000043956,lncRNA,---,ensembl,---,lncRNA,ensembl,4.0,2.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6738,11,16305715,16313616,-,ENSSSCG00000043970,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
6739,1,32037232,32051377,-,ENSSSCG00000043973,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
6746,3,103339836,103344850,-,ENSSSCG00000043995,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6762,4,7789406,7796019,+,ENSSSCG00000044028,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6769,11,76894904,76997415,-,ENSSSCG00000044051,protein_coding,---,ensembl,---,protein_coding,ensembl,1220.0,500.0,1674.0,2508.0,2142.0,1302.0,2454.0,3078.0,2665.0,2389.0,1743.0,1004.0,1984.0,1813.0,982.0,2220.0,721.0,0.0,0.0,0.0
6793,1,56092155,56119312,+,ENSSSCG00000044113,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
6842,12,36075273,36078931,+,ENSSSCG00000044232,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6855,1,15691343,15696331,+,ENSSSCG00000044264,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
6867,AEMK02000452.1,808679,815956,+,ENSSSCG00000044294,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,1.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6883,1,125794655,125798521,+,ENSSSCG00000044345,protein_coding,---,ensembl,---,protein_coding,ensembl,9.41e-22,2.0,1.96284,3.43233,1.35e-13,1.85955,0.167484,2.87571,0.98142,1.0,2.26e-40,1.74717,7.13e-23,1.93e-06,3.86678,7.76e-16,3.97e-26,0.0,0.0,0.0
6930,AEMK02000393.1,193359,196635,+,ENSSSCG00000044493,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,2.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,2.0,3.344,9.0,7.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
6939,13,54040595,54047479,-,ENSSSCG00000044514,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
6982,12,59010116,59014700,-,ENSSSCG00000044615,protein_coding,---,ensembl,---,protein_coding,ensembl,9.33e-29,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
7031,14,86823505,86829389,+,ENSSSCG00000044759,protein_coding,---,ensembl,---,protein_coding,ensembl,1.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0700000000000002e-26,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
7037,3,84429046,84435295,+,ENSSSCG00000044774,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7042,11,10837383,10841289,-,ENSSSCG00000044788,pseudogene,---,ensembl,---,pseudogene,ensembl,14.0,0.0,2.0,1.0,7.0,1.0,6.0,3.0,0.0,9.0,2.0,6.0,8.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0
